Feature,Importance
cat__City_Tujunga,0.00013836895287851008
"cat__Lat Long_33.098018, -117.258203",0.0001381632908735788
"cat__Lat Long_40.080342, -120.957805",0.00013804838461814326
"cat__Lat Long_35.842889, -121.004862",0.00013763496609337986
"cat__Lat Long_33.960891, -118.032222",0.00013720819334604755
cat__City_Indian Wells,0.00013671804988026675
cat__City_Dinuba,0.0001361190228140327
cat__City_Pomona,0.00013598050492967965
"cat__Lat Long_37.939768, -120.188002",0.0001355073152531981
"cat__Lat Long_37.516791, -121.899117",0.0001345417539970677
"cat__Lat Long_40.557314, -124.081662",0.00013449589713754098
"cat__Lat Long_40.7666, -123.80458",0.0001344426206801071
cat__City_Upland,0.00013399565641429914
"cat__Lat Long_33.819814, -118.222416",0.0001331487825012539
"cat__Lat Long_35.449881, -118.841442",0.0001329514292672615
"cat__Lat Long_34.1678, -116.86433",0.00013272656393355803
cat__City_Lemoore,0.00013248105545881058
cat__City_Sherman Oaks,0.0001318320243231257
cat__City_Annapolis,0.0001316123738876969
cat__City_Palmdale,0.0001314854584088931
"cat__Lat Long_37.612612, -121.108568",0.00013126096191671792
cat__City_San Mateo,0.00013125007300414114
"cat__Lat Long_33.537646, -116.291089",0.0001310378163077631
cat__City_Honeydew,0.00012989274435993076
"cat__Lat Long_35.916943, -120.129921",0.00012967020163855063
cat__City_Lathrop,0.00012766554659292137
cat__City_Lancaster,0.000127647332630822
cat__City_Wallace,0.0001276045092746044
"cat__Lat Long_32.805518, -117.169052",0.00012742818812978105
cat__City_Seiad Valley,0.00012710909792084624
cat__City_Cupertino,0.00012653867836571998
cat__City_Gardena,0.0001254501740161706
cat__City_Lodi,0.0001253723512715268
"cat__Lat Long_37.941456, -122.320968",0.0001252415781700219
"cat__Lat Long_32.790282, -115.689559",0.0001245360406342193
cat__City_Montague,0.00012287031927884451
"cat__Lat Long_40.142256, -123.852927",0.00012269639734185703
"cat__Lat Long_35.536115, -120.739231",0.0001224446194164827
cat__City_Twain,0.00012230843394758033
"cat__Lat Long_41.831901, -123.487478",0.00012149233456438562
cat__City_Adelanto,0.0001204380209382211
"cat__Lat Long_34.624399, -120.137875",0.00012038330813514967
cat__City_Amboy,0.00012016398044948528
cat__City_Dunnigan,0.000119926386979862
cat__City_Emeryville,0.00011988392659958724
"cat__Lat Long_39.108252, -123.645121",0.00011979323792333968
cat__City_El Monte,0.00011930639404463122
"cat__Lat Long_38.192608, -120.957842",0.00011921199119134987
"cat__Lat Long_33.762759, -116.324817",0.00011913384790960868
"cat__Lat Long_32.579134, -117.119009",0.00011909966489207207
cat__City_Pope Valley,0.00011884994464761179
"cat__Lat Long_33.254497, -117.285879",0.00011881893389900713
"cat__Lat Long_40.559177, -120.612113",0.0001188128738396649
cat__City_Crockett,0.00011868442563516838
cat__City_Palm Springs,0.00011847272392345039
cat__City_Van Nuys,0.00011842644516648867
cat__City_Pauma Valley,0.00011827161761521909
cat__City_Torrance,0.00011765143466006121
cat__City_Corona,0.00011734267163501696
"cat__Lat Long_34.159007, -118.087353",0.0001162537102029646
"cat__Lat Long_34.667815, -117.536183",0.00011609200763752062
cat__City_San Leandro,0.00011564204975246003
"cat__Lat Long_40.845738, -120.322219",0.00011556707066703913
cat__City_Angelus Oaks,0.00011516877967683455
cat__City_Cotati,0.00011480060409816513
"cat__Lat Long_34.083086, -117.737997",0.00011436581260783376
cat__City_Culver City,0.00011435551069319684
cat__City_Pilot Hill,0.00011274435018182611
"cat__Lat Long_36.959731, -120.653519",0.00011251531161828923
"cat__Lat Long_34.108833, -118.229715",0.00011217589965152494
cat__City_Palm Desert,0.00011195618947730754
cat__City_Richgrove,0.0001118275982053482
cat__City_La Jolla,0.00011171217345729416
cat__City_Lompoc,0.00011150843903774351
cat__City_Temecula,0.00011123391296663691
"cat__Lat Long_41.081847, -122.700545",0.00011121877535610841
"cat__Lat Long_33.723579, -118.005441",0.00011115416822818003
"cat__Lat Long_37.881842, -121.848111",0.00011003006489309187
"cat__Lat Long_38.646096, -121.442433",0.00010970038190447497
cat__City_Martinez,0.00010963567132001072
"cat__Lat Long_34.062125, -118.315709",0.00010955854978109314
"cat__Lat Long_34.457541, -119.631072",0.00010948533050190171
cat__City_Bonsall,0.00010868471454233828
